"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
253;60-69;206;2021-04-06
259;60-69;205;2021-04-06
260;60-69;118;2021-04-06
265;60-69;296;2021-04-06
269;60-69;102;2021-04-06
270;60-69;182;2021-04-06
306;60-69;122;2021-04-06
316;60-69;287;2021-04-06
320;60-69;126;2021-04-06
326;60-69;168;2021-04-06
329;60-69;106;2021-04-06
330;60-69;288;2021-04-06
336;60-69;76;2021-04-06
340;60-69;105;2021-04-06
350;60-69;93;2021-04-06
360;60-69;137;2021-04-06
370;60-69;303;2021-04-06
376;60-69;203;2021-04-06
390;60-69;135;2021-04-06
400;60-69;63;2021-04-06
410;60-69;97;2021-04-06
420;60-69;64;2021-04-06
430;60-69;91;2021-04-06
440;60-69;67;2021-04-06
450;60-69;94;2021-04-06
461;60-69;478;2021-04-06
479;60-69;135;2021-04-06
480;60-69;64;2021-04-06
482;60-69;26;2021-04-06
492;60-69;4;2021-04-06
510;60-69;87;2021-04-06
530;60-69;52;2021-04-06
540;60-69;132;2021-04-06
550;60-69;70;2021-04-06
561;60-69;282;2021-04-06
563;60-69;6;2021-04-06
573;60-69;132;2021-04-06
575;60-69;93;2021-04-06
580;60-69;120;2021-04-06
607;60-69;120;2021-04-06
615;60-69;179;2021-04-06
621;60-69;255;2021-04-06
630;60-69;262;2021-04-06
657;60-69;216;2021-04-06
661;60-69;195;2021-04-06
665;60-69;48;2021-04-06
671;60-69;81;2021-04-06
706;60-69;78;2021-04-06
707;60-69;85;2021-04-06
710;60-69;80;2021-04-06
727;60-69;56;2021-04-06
730;60-69;240;2021-04-06
740;60-69;199;2021-04-06
741;60-69;24;2021-04-06
746;60-69;165;2021-04-06
751;60-69;962;2021-04-06
756;60-69;96;2021-04-06
760;60-69;110;2021-04-06
766;60-69;105;2021-04-06
773;60-69;56;2021-04-06
779;60-69;80;2021-04-06
787;60-69;147;2021-04-06
791;60-69;171;2021-04-06
810;60-69;93;2021-04-06
813;60-69;172;2021-04-06
820;60-69;91;2021-04-06
825;60-69;3;2021-04-06
840;60-69;67;2021-04-06
846;60-69;127;2021-04-06
849;60-69;126;2021-04-06
851;60-69;473;2021-04-06
860;60-69;157;2021-04-06
;70-79;25;2021-04-06
011;70-79;2;2021-04-06
101;70-79;1227;2021-04-06
147;70-79;322;2021-04-06
151;70-79;161;2021-04-06
153;70-79;154;2021-04-06
155;70-79;41;2021-04-06
157;70-79;215;2021-04-06
