ALDER;KØN;TID;INDHOLD
51;1;2019;42011
51;1;2020;39539
51;2;2010;36370
51;2;2011;36260
51;2;2012;37594
51;2;2013;37645
51;2;2014;38655
51;2;2015;40904
51;2;2016;41571
51;2;2017;42861
51;2;2018;44208
51;2;2019;41424
51;2;2020;38723
52;1;2010;36609
52;1;2011;36712
52;1;2012;36475
52;1;2013;38105
52;1;2014;38022
52;1;2015;39126
52;1;2016;41366
52;1;2017;42595
52;1;2018;43458
52;1;2019;45003
52;1;2020;41893
52;2;2010;36140
52;2;2011;36285
52;2;2012;36171
52;2;2013;37500
52;2;2014;37599
52;2;2015;38599
52;2;2016;40878
52;2;2017;41523
52;2;2018;42823
52;2;2019;44139
52;2;2020;41382
53;1;2010;36760
53;1;2011;36379
53;1;2012;36513
53;1;2013;36328
53;1;2014;37941
53;1;2015;37885
53;1;2016;38996
53;1;2017;41312
53;1;2018;42473
53;1;2019;43327
53;1;2020;44836
53;2;2010;36395
53;2;2011;36022
53;2;2012;36218
53;2;2013;36056
53;2;2014;37419
53;2;2015;37533
53;2;2016;38541
53;2;2017;40805
53;2;2018;41442
53;2;2019;42760
53;2;2020;44070
54;1;2010;36271
54;1;2011;36519
54;1;2012;36151
54;1;2013;36344
54;1;2014;36097
54;1;2015;37828
54;1;2016;37722
54;1;2017;38867
54;1;2018;41188
54;1;2019;42302
54;1;2020;43154
54;2;2010;35716
54;2;2011;36264
54;2;2012;35880
54;2;2013;36127
54;2;2014;35937
54;2;2015;37339
54;2;2016;37479
54;2;2017;38468
54;2;2018;40743
54;2;2019;41410
54;2;2020;42681
55;1;2010;35072
55;1;2011;36005
55;1;2012;36277
55;1;2013;35939
55;1;2014;36179
55;1;2015;35913
55;1;2016;37697
55;1;2017;37559
55;1;2018;38673
55;1;2019;41012
55;1;2020;42118
55;2;2010;35290
55;2;2011;35570
55;2;2012;36113
55;2;2013;35761
55;2;2014;36055
55;2;2015;35825
55;2;2016;37224
55;2;2017;37370
55;2;2018;38407
55;2;2019;40618
55;2;2020;41290
56;1;2010;35671
56;1;2011;34798
56;1;2012;35723
56;1;2013;36002
56;1;2014;35747
56;1;2015;35968
56;1;2016;35776
56;1;2017;37488
56;1;2018;37343
56;1;2019;38510
56;1;2020;40823
56;2;2010;35667
56;2;2011;35153
56;2;2012;35421
56;2;2013;35963
56;2;2014;35615
56;2;2015;35953
56;2;2016;35726
56;2;2017;37144
56;2;2018;37273
56;2;2019;38305
56;2;2020;40491
57;1;2010;34822
57;1;2011;35366
57;1;2012;34542
57;1;2013;35446
57;1;2014;35739
57;1;2015;35530
57;1;2016;35783
57;1;2017;35523
57;1;2018;37267
57;1;2019;37135
57;1;2020;38273
57;2;2010;34953
57;2;2011;35484
57;2;2012;34972
57;2;2013;35260
57;2;2014;35819
57;2;2015;35505
57;2;2016;35819
57;2;2017;35620
57;2;2018;37024
57;2;2019;37142
57;2;2020;38166
58;1;2010;34285
58;1;2011;34546
58;1;2012;35085
58;1;2013;34255
58;1;2014;35196
58;1;2015;35477
58;1;2016;35285
58;1;2017;35569
58;1;2018;35279
58;1;2019;36986
58;1;2020;36902
58;2;2010;34072
58;2;2011;34784
58;2;2012;35296
58;2;2013;34805
58;2;2014;35111
58;2;2015;35690
58;2;2016;35379
58;2;2017;35689
58;2;2018;35508
58;2;2019;36882
58;2;2020;37049
59;1;2010;34769
59;1;2011;33944
59;1;2012;34229
59;1;2013;34821
59;1;2014;33947
59;1;2015;34927
59;1;2016;35250
59;1;2017;35041
59;1;2018;35292
59;1;2019;35028
59;1;2020;36703
59;2;2010;35403
59;2;2011;33893
59;2;2012;34585
59;2;2013;35129
59;2;2014;34638
59;2;2015;34993
59;2;2016;35535
59;2;2017;35207
59;2;2018;35547
59;2;2019;35376
59;2;2020;36723
60;1;2010;34416
60;1;2011;34427
60;1;2012;33644
60;1;2013;33880
60;1;2014;34463
60;1;2015;33666
60;1;2016;34648
60;1;2017;34955
60;1;2018;34759
60;1;2019;35017
60;1;2020;34730
60;2;2010;35070
60;2;2011;35198
60;2;2012;33699
60;2;2013;34380
60;2;2014;34935
60;2;2015;34485
60;2;2016;34807
60;2;2017;35371
60;2;2018;35051
60;2;2019;35358
60;2;2020;35205
61;1;2010;36093
61;1;2011;34010
61;1;2012;34068
61;1;2013;33298
61;1;2014;33521
61;1;2015;34098
61;1;2016;33301
61;1;2017;34328
61;1;2018;34641
61;1;2019;34499
61;1;2020;34694
61;2;2010;36460
61;2;2011;34803
61;2;2012;34948
61;2;2013;33484
61;2;2014;34176
61;2;2015;34735
61;2;2016;34296
61;2;2017;34598
61;2;2018;35192
61;2;2019;34864
61;2;2020;35175
62;1;2010;38138
62;1;2011;35646
62;1;2012;33644
62;1;2013;33688
62;1;2014;32956
62;1;2015;33199
